step,time,loss,acc
6350,2019-05-06T16:36:28.528324,7.033807e-02,9.843750e-01
6400,2019-05-06T16:36:30.334021,4.336753e-02,9.765625e-01
6450,2019-05-06T16:36:32.142497,4.367022e-02,9.921875e-01
6500,2019-05-06T16:36:33.947991,3.323540e-02,9.921875e-01
6550,2019-05-06T16:36:35.810052,9.588400e-02,9.687500e-01
6600,2019-05-06T16:36:37.612657,4.556496e-02,9.765625e-01
6650,2019-05-06T16:36:39.418135,4.965879e-02,9.921875e-01
6700,2019-05-06T16:36:41.228166,9.463512e-03,1.000000e+00
6750,2019-05-06T16:36:43.028073,4.449929e-02,9.687500e-01
6800,2019-05-06T16:36:44.834065,3.615697e-02,9.843750e-01
6850,2019-05-06T16:36:46.646487,4.048202e-02,9.843750e-01
6900,2019-05-06T16:36:48.452369,1.033905e-02,1.000000e+00
6950,2019-05-06T16:36:50.254877,3.520746e-03,1.000000e+00
7000,2019-05-06T16:36:52.057613,1.704283e-02,9.921875e-01
7050,2019-05-06T16:36:53.916481,2.832166e-02,9.921875e-01
7100,2019-05-06T16:36:55.747838,2.507622e-02,9.921875e-01
7150,2019-05-06T16:36:57.593198,4.094879e-02,9.765625e-01
7200,2019-05-06T16:36:59.421814,3.680890e-02,9.921875e-01
7250,2019-05-06T16:37:01.251984,1.811235e-02,9.921875e-01
7300,2019-05-06T16:37:03.085380,8.510065e-03,1.000000e+00
7350,2019-05-06T16:37:04.916352,1.502102e-02,1.000000e+00
7400,2019-05-06T16:37:06.720500,2.813576e-02,9.921875e-01
7450,2019-05-06T16:37:08.520018,4.806487e-02,9.843750e-01
7500,2019-05-06T16:37:10.319526,3.680653e-02,9.843750e-01
7550,2019-05-06T16:37:12.175387,8.435079e-03,1.000000e+00
7600,2019-05-06T16:37:13.983053,7.425788e-03,1.000000e+00
7650,2019-05-06T16:37:15.792769,8.190134e-02,9.843750e-01
7700,2019-05-06T16:37:17.598041,1.565461e-02,1.000000e+00
7750,2019-05-06T16:37:19.399087,3.598567e-02,9.843750e-01
7800,2019-05-06T16:37:21.207675,2.704183e-02,9.921875e-01
7850,2019-05-06T16:37:23.016047,1.007039e-02,1.000000e+00
7900,2019-05-06T16:37:24.823506,1.693277e-02,9.921875e-01
7950,2019-05-06T16:37:26.628748,1.271013e-02,1.000000e+00
8000,2019-05-06T16:37:28.431280,3.095941e-02,9.843750e-01
8050,2019-05-06T16:37:30.348883,6.421588e-02,9.765625e-01
8100,2019-05-06T16:37:32.149904,4.064805e-02,9.843750e-01
8150,2019-05-06T16:37:33.952040,1.881412e-02,1.000000e+00
8200,2019-05-06T16:37:35.759299,5.678425e-02,9.687500e-01
8250,2019-05-06T16:37:37.568415,6.466149e-02,9.687500e-01
8300,2019-05-06T16:37:39.378706,4.322239e-02,9.921875e-01
8350,2019-05-06T16:37:41.187906,6.041779e-02,9.765625e-01
8400,2019-05-06T16:37:42.989256,3.447417e-02,9.921875e-01
8450,2019-05-06T16:37:44.790973,1.623444e-02,1.000000e+00
8500,2019-05-06T16:37:46.588671,4.209285e-02,9.843750e-01
8550,2019-05-06T16:37:48.437583,4.413619e-02,9.843750e-01
8600,2019-05-06T16:37:50.240454,1.275579e-02,1.000000e+00
8650,2019-05-06T16:37:52.147648,1.232331e-02,9.921875e-01
8700,2019-05-06T16:37:53.955812,2.770450e-02,9.843750e-01
8750,2019-05-06T16:37:55.758344,1.411464e-02,1.000000e+00
8800,2019-05-06T16:37:57.560150,1.974230e-02,9.921875e-01
8850,2019-05-06T16:37:59.359420,1.620062e-02,1.000000e+00
8900,2019-05-06T16:38:01.166406,1.660391e-02,9.921875e-01
8950,2019-05-06T16:38:02.966381,6.190676e-03,1.000000e+00
9000,2019-05-06T16:38:04.772304,4.920902e-02,9.843750e-01
9050,2019-05-06T16:38:06.693710,4.421322e-02,9.765625e-01
9100,2019-05-06T16:38:08.500485,1.468134e-02,9.921875e-01
9150,2019-05-06T16:38:10.309093,8.908350e-03,1.000000e+00
9200,2019-05-06T16:38:12.123527,4.073409e-02,9.921875e-01
9250,2019-05-06T16:38:13.947628,2.705741e-02,9.921875e-01
9300,2019-05-06T16:38:15.793478,3.672523e-02,9.843750e-01
9350,2019-05-06T16:38:17.636708,3.695234e-02,9.843750e-01
9400,2019-05-06T16:38:19.471903,3.693260e-02,9.921875e-01
9450,2019-05-06T16:38:21.301316,6.007182e-02,9.843750e-01
9500,2019-05-06T16:38:23.137874,8.328127e-02,9.843750e-01
9550,2019-05-06T16:38:25.096729,1.387623e-02,1.000000e+00
9600,2019-05-06T16:38:26.901556,2.612548e-02,9.921875e-01
9650,2019-05-06T16:38:28.717080,2.357593e-02,9.921875e-01
9700,2019-05-06T16:38:30.558067,3.608488e-02,9.843750e-01
9750,2019-05-06T16:38:32.397334,5.034570e-02,9.765625e-01
9800,2019-05-06T16:38:34.238838,4.361464e-02,9.843750e-01
9850,2019-05-06T16:38:36.084210,1.081239e-02,9.921875e-01
9900,2019-05-06T16:38:37.935430,2.923929e-02,9.921875e-01
9950,2019-05-06T16:38:39.749814,1.951353e-02,9.921875e-01
10000,2019-05-06T16:38:41.549559,5.143358e-02,9.843750e-01
10050,2019-05-06T16:38:43.413196,1.264115e-01,9.765625e-01
10100,2019-05-06T16:38:45.219592,2.874723e-02,9.921875e-01
10150,2019-05-06T16:38:47.021023,3.603337e-02,9.843750e-01
10200,2019-05-06T16:38:48.824293,1.692635e-02,9.921875e-01
10250,2019-05-06T16:38:50.627469,3.060815e-02,9.921875e-01
10300,2019-05-06T16:38:52.435016,5.074796e-02,9.765625e-01
10350,2019-05-06T16:38:54.242187,2.082738e-02,9.921875e-01
10400,2019-05-06T16:38:56.042765,7.624376e-02,9.843750e-01
10450,2019-05-06T16:38:57.844755,6.932411e-02,9.921875e-01
10500,2019-05-06T16:38:59.646521,1.183160e-01,9.609375e-01
10550,2019-05-06T16:39:01.570524,1.214078e-02,1.000000e+00
10600,2019-05-06T16:39:03.373581,3.827146e-02,9.843750e-01
10650,2019-05-06T16:39:05.174987,5.885167e-02,9.843750e-01
10700,2019-05-06T16:39:06.974772,4.744300e-02,9.843750e-01
10750,2019-05-06T16:39:08.777395,3.958579e-02,9.921875e-01
10800,2019-05-06T16:39:10.580692,6.942146e-02,9.765625e-01
10850,2019-05-06T16:39:12.385391,4.138536e-02,9.921875e-01
10900,2019-05-06T16:39:14.192348,3.863978e-02,9.843750e-01
10950,2019-05-06T16:39:15.998577,5.965209e-02,9.687500e-01
11000,2019-05-06T16:39:17.799173,2.850286e-02,9.921875e-01
11050,2019-05-06T16:39:19.659110,3.690445e-02,9.921875e-01
11100,2019-05-06T16:39:21.458115,1.582788e-02,9.921875e-01
11150,2019-05-06T16:39:23.253572,2.040238e-02,9.921875e-01
11200,2019-05-06T16:39:25.055603,9.497634e-03,9.921875e-01
11250,2019-05-06T16:39:26.856768,2.246402e-02,9.843750e-01
11300,2019-05-06T16:39:28.656706,5.487371e-02,9.921875e-01
11350,2019-05-06T16:39:30.456684,4.629261e-02,9.921875e-01
11400,2019-05-06T16:39:32.258450,1.922894e-02,9.921875e-01
11450,2019-05-06T16:39:34.057021,3.178738e-02,9.843750e-01
11500,2019-05-06T16:39:35.872198,7.861888e-02,9.765625e-01
11550,2019-05-06T16:39:37.763137,4.493536e-02,9.843750e-01
